,CNTY,SR,SEG,LENGTH,lnlength,total_crash,fatal,injury,pdo,WIDTH,LANES,SPEED,DIVISOR,L_S_PAVE,L_S_TOTL,R_S_PAVE,R_S_TOTL,Dir,U_R_CODE,SURFACE,DIST,ACC_CTRL,CO,CTL,lane_width,divwidth,divwidth_1p,divwidth_2l,divwidth_4l,divwidth_6l,divwidth_8l,divwidth_10l,divwidth_12l,barrier3,parking_lane,parking_lane_2,AADT,K,T
0,1,30,210,2319.0,-0.822790027,15.923076923076923,0.0,8.23076923076923,7.6923076923076925,22.0,2.0,45.0,0.0,4.0,4.0,4.0,4.0,,2.0,62.0,8.0,3.0,1.0,0.0,11.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,8061.25,9.166666666666666,6.666666666666667
1,1,30,220,3186.0,-0.505159914,13.846153846153847,0.07692307692307693,7.846153846153846,5.923076923076923,22.0,2.0,45.0,0.0,4.0,4.0,4.0,4.0,,2.0,62.0,8.0,3.0,1.0,0.0,11.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,10142.076923076924,8.428571428571429,6.428571428571429
2,1,30,230,3044.0,-0.550753653,10.692307692307692,0.07692307692307693,4.538461538461538,6.076923076923077,22.0,2.0,40.0,0.0,4.0,4.0,4.0,4.0,,2.0,62.0,8.0,3.0,1.0,0.0,11.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,10142.076923076924,8.428571428571429,6.428571428571429
3,1,30,240,3167.0,-0.51114136,12.692307692307692,0.23076923076923078,5.769230769230769,6.6923076923076925,22.0,2.0,45.0,0.0,4.0,4.0,4.0,4.0,,2.0,62.0,8.0,3.0,1.0,0.0,11.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,10142.076923076924,8.428571428571429,6.428571428571429
4,1,30,250,1913.0,-1.015253425,7.3076923076923075,0.15384615384615385,3.076923076923077,4.076923076923077,22.0,2.0,25.0,0.0,4.0,4.0,4.0,4.0,,2.0,62.0,8.0,3.0,1.0,0.0,11.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,10142.076923076924,8.428571428571429,6.428571428571429
5,1,30,260,2329.0,-0.818487108,11.0,0.23076923076923078,5.0,5.769230769230769,36.0,2.0,25.0,0.0,0.0,0.0,0.0,0.0,,2.0,62.0,8.0,3.0,1.0,0.0,18.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,11046.0,9.285714285714286,5.714285714285714
6,1,30,270,2239.0,-0.8578967449999999,10.307692307692308,0.0,5.384615384615385,4.923076923076923,41.0,2.0,25.0,0.0,0.0,0.0,0.0,0.0,,2.0,62.0,8.0,3.0,1.0,0.0,20.5,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,11046.0,9.285714285714286,5.714285714285714
7,1,30,272,197.0,-3.2884776590000007,7.076923076923077,0.0,3.8461538461538463,3.230769230769231,41.0,2.0,25.0,8.0,0.0,0.0,0.0,0.0,,2.0,62.0,8.0,3.0,1.0,0.0,20.5,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,6395.923076923077,9.285714285714286,5.714285714285714
8,1,30,273,197.0,-3.2884776590000007,2.6153846153846154,0.15384615384615385,1.0769230769230769,1.3846153846153846,24.0,2.0,25.0,8.0,0.0,0.0,0.0,0.0,,2.0,61.0,8.0,3.0,1.0,0.0,12.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,6395.923076923077,9.285714285714286,5.714285714285714
9,1,30,280,2436.0,-0.773568749,3.769230769230769,0.0,2.230769230769231,1.5384615384615385,36.0,3.0,25.0,0.0,0.0,0.0,0.0,0.0,,2.0,62.0,8.0,3.0,1.0,0.0,12.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,16574.76923076923,10.0,3.5714285714285716
10,1,30,290,1262.0,-1.43122828,20.923076923076923,0.07692307692307693,10.461538461538462,10.384615384615385,35.0,2.0,25.0,0.0,0.0,0.0,0.0,0.0,,2.0,62.0,8.0,3.0,1.0,0.0,17.5,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,16574.76923076923,10.0,3.5714285714285716
11,1,30,300,3439.0,-0.428745359,15.923076923076923,0.15384615384615385,6.923076923076923,8.846153846153847,30.0,2.0,45.0,0.0,5.0,5.0,5.0,5.0,,2.0,61.0,8.0,3.0,1.0,1.0,15.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,15991.307692307691,9.0,3.4285714285714284
12,1,30,440,3104.0,-0.531234503,12.23076923076923,0.23076923076923078,5.461538461538462,6.538461538461538,24.0,2.0,45.0,0.0,8.0,8.0,8.0,8.0,,2.0,62.0,8.0,3.0,1.0,1.0,12.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,11655.25,9.166666666666666,6.666666666666667
13,1,30,450,3180.0,-0.507044911,6.846153846153846,0.07692307692307693,3.923076923076923,2.8461538461538463,40.0,2.0,35.0,0.0,8.0,8.0,8.0,8.0,,2.0,62.0,8.0,3.0,1.0,0.0,20.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,15212.692307692309,8.0,6.857142857142857
14,1,30,460,2574.0,-0.718464971,1.7692307692307692,0.0,0.46153846153846156,1.3076923076923077,40.0,2.0,35.0,0.0,0.0,0.0,0.0,0.0,,2.0,62.0,8.0,3.0,1.0,0.0,20.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,15212.692307692309,8.0,6.857142857142857
