"CRN","AXLE_CNT","CARGO_BD_TYPE","CARRIER_ADDR_1","CARRIER_ADDR_2","CARRIER_ADDR_CITY","CARRIER_ADDR_STATE","CARRIER_ADDR_ZIP","CARRIER_NM","CARRIER_TEL","GVWR","HAZMAT_CD1","HAZMAT_CD2","HAZMAT_CD3","HAZMAT_CD4","HAZMAT_IND","HAZMAT_REL_IND1","HAZMAT_REL_IND2","HAZMAT_REL_IND3","HAZMAT_REL_IND4","ICC_NUM","OSIZE_LOAD_IND","PUC_NUM","UNIT_NUM","USDOT_NUM","VEH_CONFIG_CD"
2015037590,"05","1","PO BOX 172","","BRUCETON MILLS","WV","26525","TRIPLE T TIMBERING LLC","3046922090","","","","","","N","","","","","","N","","1","01499666","06"
2015037590,"05","4","134 PFEISTER AVE.","","CRESSON","PA","16630","CPM TRUCKING CO","8148864121","","","","","","N","","","","","","N","","2","00207039","06"
2015065040,"06","3","160 KEYSTONE DR","","TELEFORD","PA","18969","KRATZ TRUCKING INC.","2677182884","080000","","","","","N","","","","","000297020","N","A-00112722","2","00622961","08"
2015055439,"99","4","17TH STREET AND ARSENAL","","HARRISBURG","PA","17120","PENNDOT","7177872110","058400","","","","","N","","","","","","N","","2","01439050","09"
2015055439,"03","1","17TH STREET AND ARSENAL","","HARRISBURG","PA","17120","PENNDOT","7177872110","080000","","","","","N","","","","","","N","","1","01439050","09"
2015010713,"05","3","31 N PEORIA AVE","","TULSA","OK","74120","AIRGAS USA LLC","7172385520","080000","2","","","","Y","1","","","","","N","","1","00299712","08"
2015119732,"03","2","33 LANCE RD","","LEBANON","NJ","08833","CEMPORT INC","2014345920","080000","","","","","N","","","","","000214315","N","A-8998888","2","00380331","09"
2015024423,"03","9","2200 DON TYSON PARKWAY","","SPRINGDALE","AZ","72762","TYSON FOODS","8775777212","080000","","","","","N","","","","","","N","","2","00003327","08"
2015127283,"02","1","1285 BRISTOL RD","","CHURCHVILLE","PA","18966","MAZNA INC","9999999999","014000","","","","","N","","","","","","N","","2","","03"
2016002678,"05","7","16 WARWICK ROAD","","ISLAND PARK","NY","11558","EL DURO TRANSPORTATION INC","5163502436","080000","","","","","N","","","","","","N","","2","02785404","06"
2015024878,"03","4","17TH & ARSENAL BLVD","","HARRISBURG","PA","17120","PENNDOT","6102501840","038000","","","","","N","","","","","","N","","1","09802069","04"
2015107636,"10","3","158 CHURCH ST","","GLEN ROCK","PA","17327","RICHARD DAVIS","7178737121","085000","","","","","N","","","","","","N","","2","01057474","08"
2015010678,"99","1","50 CABOT BLVD. E.","","LANGHORNE","PA","19047","METALS USA","9999999999","080000","","","","","N","","","","","","N","","2","00165420","08"
2015117778,"99","0","1615 DOUG BARNARD PKWY","","AUGUSTA","GA","30906","MAXIM CRANE WORKS LP","8776295438","","","","","","N","","","","","","N","","2","00343050","07"
2015132724,"04","3","2906 REACH RD PO BOX 35","","WILLIAMSPORT","PA","17701","WHITCO SUPPLY LLC","5706074645","030000","","","","","N","","","","","","N","","1","01158749","99"
2015132724,"04","3","2906 REACH RD PO BOX 35","","WILLIAMSPORT","PA","17701","WHITCO SUPPLY LLC","5706074645","030000","","","","","N","","","","","","N","","2","01158749","99"
2015030662,"05","9","100 ILLINOIS ST SUITE 2","","ST CHARLES","IL","60174","CARDINAL LOGISTICS","2177851800","070000","","","","","N","","","","","","N","","3","00296982","09"
2015036262,"05","1","1000  FED EX DRIVE","","CORAPOLIS","PA","15108","FED-EX GROUND","8776275757","080000","","","","","N","","","","","","N","","2","00265752","08"
2015104431,"05","1","145 ROSEMARY STREET","","NEEDHAM","ME","02492","LILY TRANSPORTATION CORP","5084793183","080000","","","","","N","","","","","","N","","1","00024491","08"
2015037629,"02","6","1-71 NORTH AVENUE EAST","","ELIZABETH","NJ","07201","NEW ENGLAND MOTOR FREIGHT INC","2078562217","080000","","","","","N","","","","","","N","","2","00003336","06"
2015029299,"02","8","1060 LEHIGH ST","","ALLENTOWN","PA","18103","LEHIGH & NORTHAMPTON TRANPORTA","6102580479","000000","","","","","N","","","","","","N","","2","00043206","11"
2015102264,"04","4","431 MONTDALE ROAD","","SCOTT TWP","PA","18447","BERNARD NANIEWICZ FARM","5705631021","073280","","","","","N","","","","","","N","","1","02156840","04"
2015092376,"03","4","4993 OLD CLAIRTON RD","","PITTSBURGH","PA","15236","PITTSBURGH  ASPHALT COMPANY","4128813200","073280","","","","","N","","","","","","N","","1","02073216","09"
2015092376,"02","9","5711 RESEARCH DR","","CANTON","MI","48188","AERO COMMUNICATIONS INC","7344678121","017000","","","","","N","","","","","","N","","2","01234261","00"
2015117019,"05","1","4555 HOLLINS FERRY RD","","BALTIMORE","MD","21227","COWAN EQUIPMENT LEASING INC","4432971450","080000","","","","","N","","","","","","N","","2","00548880","08"
2015027760,"02","8","1234 MARKET STREET","","PHIL;ADELPHIA","PA","19026","SEPTA TRANSPORTION","2155807800","","","","","","N","","","","","","N","","2","","11"
2015136421,"02","8","320 WEST SWAMP ROAD","","DOYLESTOWN","PA","18901","CENTRAL BUCKS SCHOOL DISTRICT","2678934000","028900","","","","","N","","","","","","N","","2","01129281","11"
2015040056,"05","1","205 E. CO. DR. 625 N.","","SHELBURN","IN","47879","HAAG TRANSPORT INC.","8123972139","072350","","","","","N","","","","","000141317","N","","1","00164140","08"
2015101093,"04","4","4455 CASTOR AVE","","PHILADELPHIA","PA","19124","BELLA TRUCKING INC","2677673587","073280","","","","","N","","","","","","N","","1","01496165","04"
2015008524,"03","4","401 RT 61 SOUTH","","SCHUYLKILL HAVEN","PA","17972","ASH RESOURCES INC","5703854783","073280","","","","","N","","","","","0MC597685","N","A-00123579","2","00831238","04"
2015047439,"03","1","2150 INDUSTRIAL DR","","BETHLEHEM","PA","18017","COCA COLA BOTTLING COMPANY","4846294743","033000","","","","","N","","","","","000000010","N","","1","","08"
2015011048,"05","1","1600 SE 66TH","","OKLAHOMA CITY","OK","73149","JB HUNT","8777919458","080000","","","","","N","","","","","","N","","2","00080806","08"
2015105249,"02","8","401 BROAD ST","","JOHNSTOWN","PA","15906","PACE HEALTHCARE TRANSPORTATION","4849513039","","","","","","N","","","","","","N","","4","00000009","10"
2015048607,"02","1","5754 HODGEMAN LANE","","KENT","OH","44240","NICK BATTAGLIA & SONS INC","3306735188","011770","","","","","N","","","","","","N","","2","00329975","03"
2015011032,"05","1","500 OLD DOMINION WAY","","THOMASVILLE","NC","27360","OLD DOMINION FREIGHT INC","2012160060","080001","","","","","N","","","","","","N","","2","00090849","08"
2015076338,"05","1","94 WALDOBORO RD","","JEFFERSON","ME","04348","KINGS SERVICE LLC","3014104112","080000","","","","","N","","","","","","N","","2","00419752","08"
2015103729,"99","9","7101 W.17TH AVE","","GARY","IN","46406","SCHNEIDER NATIONAL CARRIERS INC.","9999999999","999999","","","","","N","","","","","","U","","3","","08"
2015108661,"05","2","PO BOX 152","","HELLERTOWN","PA","18055","WEST TRUCKERS FRANCHISE LLC","6108651788","079700","","","","","N","","","","","","N","","1","01831033","08"
2015097391,"02","3","5164 WINTERBERRY DRIVE","","DOYLESTOWN","PA","18902","SABINO'S POOL PLASTERING","2157660352","026000","","","","","N","","","","","","N","","1","01910086","03"
2015042606,"99","8","1234 MARKET ST, 14TH","","PHILADELPHIA","PA","19107","SEPTA","9999999999","999999","","","","","N","","","","","","N","","1","","11"
2015028064,"05","1","1-71 NORTH AVE EAST","","ELIZABETH, NJ  07201","NJ","07201","NEW ENGLAND MOTOR,  FRGHT INC","9089650100","080000","","","","","N","","","","","","N","","1","00031120","08"
2015090388,"99","9","550 FIREHOUSE RD","","GRANTVILLE","PA","17028","FLEET REPAIR SOLUTIONS","9999999999","011500","","","","","N","","","","","","U","","2","","05"
2015052814,"02","1","7168 DANIELS DRIVE","","ALLENTOWN","PA","18106","CONWAY PROVISIONS INC.","6105302020","036000","","","","","N","","","","","","N","","1","02312780","03"
2015015435,"05","1","203 APPALACHEE PKWY","SUITE 108","TALLAHASSEE","FL","32301","VELOX TRANSPORT SOLUTIONS LLC","7868664580","080000","","","","","N","","","","","","N","","1","02341009","08"
2015117403,"05","1","3162 WHITE CHURCH ROAD","","CHAMBERSBURG","PA","17202","FORRESTER FARMS LTD.","7173725751","080000","","","","","N","","","","","","N","","2","00005524","08"
2015074408,"05","1","3065 HALSTED ST","","CHICAGO","IL","60661","KZ INC","3125605441","080000","","","","","N","","","","","","N","","1","02284042","08"
2015090434,"02","1","26 JUDY LN","","HARRISBURG","PA","17112","ALL IN INSULATION LLC","7177985970","026000","","","","","N","","","","","","N","","2","99999999","09"
2015010665,"05","1","715 WEST 172ND ST., BOX","","SOUTH HOLLAND","IL","60473","EAGLE EXPRESS LINES INC.","4846512028","026000","","","","","N","","","","","","N","","2","00649914","08"
2015073505,"02","8","1234 MARKET STREET","","PHILADELPHIA","PA","19107","SEPTA TRANSIT","2155807800","040000","","","","","N","","","","","","N","","1","99999999","11"
2015073505,"02","1","480 WEST POTHOUSE ROAD","","PHOENIXVILLE","PA","19460","THE PARTY CENTER","6109358368","026000","","","","","N","","","","","","N","","2","00549761","03"
2015109974,"03","1","130 A SATTERLEE RD","","DUBOIS","PA","15801","STAAR TRUCKING INC","8146122077","035000","","","","","N","","","","","","N","","1","02266657","09"
2015087145,"04","1","1623 WEST LUNT AVENUE,","","CHICAGO","IL","60626","KENNEDY BROTHERS LLC","5712787469","080000","","","","","N","","","","","","N","","2","02175321","08"
2015032367,"05","1","6814 OLD ROYALTON ROAD","","BRECKVILLE","OH","44141","SERGEY STASENKO","4402123652","083000","","","","","N","","","","","","N","","2","01280680","08"
2015032367,"05","1","941 WHEATLAND AVE","","LANCASTER","PA","17608","MCGEARY GRAIIN INC","7173946843","083000","","","","","N","","","","","","N","","1","29917608","08"
2015041125,"02","1","200 COLONY LN.","","LATROBE","PA","15650","LOWES","7245328360","020000","","","","","N","","","","","","N","","2","00097235","03"
2015064229,"05","1","13800 BELLE RIVER RD","","BERVILLE","MI","48002","TM MORLEY","8004384787","080000","","","","","N","","","","","000169101","N","","2","00237834","08"
